Judet,idSchool,bulgara,croata,engleza,germana,italiana,maghiara,neogreaca,polona,romana,romani,rusa,sarba,slovaca,ucraineana,Nr_elevi,Nr_profesori,Elevi_cu_BAC,Ateliere_scolare,Laboratoare,Echipamente,Terenuri_sport,Imigranti
ALBA,36,0,0,0,1,0,2,0,0,33,0,0,0,0,0,21419,2416,1817,82,162,4882,37,215
ARAD,41,0,0,0,1,0,1,0,0,40,0,0,0,1,0,31643,3166,2047,86,209,3759,51,315
ARGES,43,0,0,0,0,0,0,0,0,43,0,0,0,0,0,29802,3057,3416,129,241,5320,40,162
BACAU,36,0,0,0,0,0,0,0,0,36,0,0,0,0,0,27915,3055,3165,100,206,6239,43,1250
BIHOR,51,0,0,0,1,0,14,0,0,42,0,0,0,1,0,41575,4430,2915,108,253,6137,73,300
BISTRITA-NASAUD,27,0,0,0,1,0,1,0,0,27,0,0,0,0,0,19115,1973,1553,47,104,3814,21,177
BOTOSANI,29,0,0,0,0,0,0,0,0,29,0,0,0,0,0,21813,2387,2182,61,121,3415,30,4609
BRAILA,22,0,0,0,0,0,0,0,0,22,0,0,0,0,0,15657,1623,1388,81,104,2568,19,105
BRASOV,42,0,0,0,3,0,4,0,0,39,0,0,0,0,0,31486,3270,2668,97,203,4005,40,634
BUZAU,33,0,0,0,0,0,0,0,0,33,0,0,0,0,0,20968,2319,2046,37,140,3178,20,129
CALARASI,17,0,0,0,0,0,0,0,0,17,0,0,0,0,0,11387,1154,840,46,82,1902,18,125
CARAS-SEVERIN,31,0,1,0,1,0,0,0,0,30,0,0,0,0,0,18579,1966,1239,83,173,3087,26,227
CLUJ,69,0,0,2,1,0,12,0,0,61,0,0,0,0,0,46839,4980,3653,112,368,14700,75,692
CONSTANTA,65,0,0,1,0,0,0,0,0,64,0,0,0,0,0,48156,4459,3494,98,291,5665,70,480
COVASNA,18,0,0,0,0,0,14,0,0,7,0,0,0,0,0,10574,1413,847,93,70,1842,16,66
DAMBOVITA,30,0,0,0,0,0,0,0,0,30,0,0,0,0,0,21225,2252,2187,65,168,3432,36,174
DOLJ,46,0,0,0,0,0,0,0,0,46,0,0,0,0,0,37998,3971,2975,117,315,5425,64,316
GALATI,35,0,0,0,0,0,0,0,0,35,0,0,0,0,0,25274,2532,2827,90,202,3504,43,6929
GIURGIU,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,8802,780,743,17,55,1404,11,115
GORJ,33,0,0,0,0,0,0,0,0,33,0,0,0,0,0,21128,2194,1883,73,177,4150,40,85
HARGHITA,38,0,0,0,0,0,31,0,0,10,0,0,0,0,0,19495,2481,1422,99,134,3795,27,93
HUNEDOARA,33,0,0,0,1,0,1,0,0,32,0,0,0,0,0,31773,3429,1828,74,160,4080,43,257
IALOMITA,18,0,0,0,0,0,0,0,0,18,0,0,0,0,0,12355,1278,1049,49,99,2099,18,147
IASI,49,0,0,0,0,0,0,0,0,49,0,0,0,0,0,40859,4541,4426,140,278,6310,59,10034
ILFOV,21,0,0,0,1,0,0,0,0,20,0,0,0,0,0,17787,1337,608,13,61,1971,22,695
MARAMURES,45,0,0,0,1,0,2,0,0,41,0,0,0,0,1,27233,3192,2449,67,135,6815,37,326
MEHEDINTI,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,14368,1474,1209,39,110,2530,20,100
MUNICIPIUL BUCURESTI,120,1,0,0,1,1,1,1,0,118,1,1,0,0,0,104438,9725,12830,221,708,48471,121,10786
MURES,36,0,0,0,2,0,21,0,0,31,0,0,0,0,0,24122,2793,2485,73,145,9111,26,256
NEAMT,36,0,0,0,0,0,0,0,0,36,0,0,0,0,0,28078,3137,2605,84,201,4136,48,1183
OLT,31,0,0,0,0,0,0,0,0,31,0,0,0,0,0,24311,2404,1774,56,128,2468,30,146
PRAHOVA,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,38468,3736,3984,134,244,6136,46,262
SALAJ,22,0,0,0,0,0,8,0,0,21,0,0,0,0,0,12988,1467,1171,51,134,2122,17,66
SATU MARE,29,0,0,0,1,0,10,0,0,24,0,0,0,0,0,18261,1977,1460,74,139,3722,39,205
SIBIU,34,0,0,0,4,0,2,0,0,33,0,0,0,0,0,23924,2394,1948,111,156,3159,25,372
SUCEAVA,44,0,0,0,0,0,0,0,1,44,0,0,0,0,1,37514,3761,3934,84,248,8244,44,1171
TELEORMAN,22,0,0,0,0,0,0,0,0,22,0,0,0,0,0,11923,1224,1197,35,82,2605,19,217
TIMIS,57,0,0,0,3,0,2,0,0,54,0,0,1,0,1,43591,4558,2890,104,258,4976,55,802
TULCEA,18,0,0,0,0,0,0,0,0,18,0,0,0,0,0,10250,1187,829,30,131,1902,18,101
VALCEA,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,19947,2223,1926,48,142,2040,19,105
VASLUI,24,0,0,0,0,0,0,0,0,24,0,0,0,0,0,17305,1871,1872,63,131,3076,21,10199
VRANCEA,22,0,0,0,0,0,0,0,0,22,0,0,0,0,0,16158,1722,1555,40,115,2114,16,211
